WigleWifi-1.4,appRelease=2.38,model=Redmi Note 4,release=6.0,device=nikel,display=MRA58K,board=unknown,brand=Xiaomi
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
8c:0c:90:2f:d3:d8,Ariel_University,[ESS],2018-11-29 17:20:34,1,-67,32.10569,35.2050683333333,645.1,3.59999990463257,WIFI
24:c9:a1:36:4d:c8,Ariel_University,[ESS],2018-11-29 17:20:34,1,-64,32.10569,35.2050683333333,645.1,3.59999990463257,WIFI
8c:0c:90:2e:e8:08,Ariel_University,[ESS],2018-11-29 17:20:34,11,-75,32.10569,35.2050683333333,645.1,3.59999990463257,WIFI
8c:0c:90:2e:ed:a8,Ariel_University,[ESS],2018-11-29 17:20:34,6,-66,32.10569,35.2050683333333,645.1,3.59999990463257,WIFI
8c:0c:90:2e:e8:28,Ariel_University,[ESS],2018-11-29 17:20:34,6,-70,32.10569,35.2050683333333,645.1,3.59999990463257,WIFI
2c:5d:93:3e:f5:38,Ariel_University,[ESS],2018-11-29 17:20:34,6,-76,32.10569,35.2050683333333,645.1,3.59999990463257,WIFI
e0:10:7f:1a:95:c8,Ariel_University,[ESS],2018-11-29 17:20:34,1,-80,32.10569,35.2050683333333,645.1,3.59999990463257,WIFI
24:c9:a1:35:ba:28,Ariel_University,[ESS],2018-11-29 17:20:34,11,-69,32.10569,35.2050683333333,645.1,3.59999990463257,WIFI
24:c9:a1:35:b7:e8,Ariel_University,[ESS],2018-11-29 17:20:34,6,-75,32.10569,35.2050683333333,645.1,3.59999990463257,WIFI
24:c9:a1:36:52:d8,Ariel_University,[ESS],2018-11-29 17:20:34,6,-75,32.10569,35.2050683333333,645.1,3.59999990463257,WIFI
24:c9:a1:36:51:88,Ariel_University,[ESS],2018-11-29 17:20:34,6,-85,32.10569,35.2050683333333,645.1,3.59999990463257,WIFI
62:45:b6:05:79:c9,,[WEP][ESS],2018-11-29 17:20:34,40,-83,32.10569,35.2050683333333,645.1,3.59999990463257,WIFI
34:fa:9f:14:63:8c,Ariel_University,[ESS],2018-11-29 17:20:34,36,-83,32.10569,35.2050683333333,645.1,3.59999990463257,WIFI
8c:0c:90:2f:ce:08,Ariel_University,[ESS],2018-11-29 17:20:34,1,-63,32.10569,35.2050683333333,645.1,3.59999990463257,WIFI
8c:0c:90:2f:31:38,Ariel_University,[ESS],2018-11-29 17:20:34,1,-80,32.10569,35.2050683333333,645.1,3.59999990463257,WIFI
8c:0c:90:2e:15:88,Ariel_University,[ESS],2018-11-29 17:20:34,1,-82,32.10569,35.2050683333333,645.1,3.59999990463257,WIFI
42503_6791_2147843,,LTE;il,2018-11-29 17:20:34,0,-113,32.10569,35.2050683333333,645.1,3.59999990463257,GSM
8c:0c:90:2e:0e:88,Ariel_University,[ESS],2018-11-29 17:20:39,1,-76,32.1057166666667,35.204985,639.3,3,WIFI
ec:8c:a2:26:d2:98,Ariel_University,[ESS],2018-11-29 17:20:39,1,-78,32.1057166666667,35.204985,639.3,3,WIFI
e0:10:7f:1a:99:f8,Ariel_University,[ESS],2018-11-29 17:20:39,1,-81,32.1057166666667,35.204985,639.3,3,WIFI
8c:0c:90:2f:cc:08,Ariel_University,[ESS],2018-11-29 17:20:45,1,-80,32.105705,35.2049916666667,640.2,2.79999995231628,WIFI
84:18:3a:04:40:98,Ariel_University,[ESS],2018-11-29 17:20:45,11,-82,32.105705,35.2049916666667,640.2,2.79999995231628,WIFI
e0:10:7f:1e:55:48,Ariel_University,[ESS],2018-11-29 17:20:45,11,-89,32.105705,35.2049916666667,640.2,2.79999995231628,WIFI
24:c9:a1:35:bb:08,Ariel_University,[ESS],2018-11-29 17:20:45,6,-84,32.105705,35.2049916666667,640.2,2.79999995231628,WIFI
8c:0c:90:2e:17:b8,Ariel_University,[ESS],2018-11-29 17:20:45,1,-88,32.105705,35.2049916666667,640.2,2.79999995231628,WIFI
24:c9:a1:36:52:d8,Ariel_University,[ESS],2018-11-29 17:20:52,6,-69,32.1056933333333,35.204995,639.7,2.79999995231628,WIFI
e0:10:7f:1a:99:f8,Ariel_University,[ESS],2018-11-29 17:20:52,1,-76,32.1056933333333,35.204995,639.7,2.79999995231628,WIFI
8c:0c:90:2f:35:38,Ariel_University,[ESS],2018-11-29 17:20:52,11,-84,32.1056933333333,35.204995,639.7,2.79999995231628,WIFI
